region,periode,surface_1000ha
Île-de-France,2006-2009,266
Île-de-France,2008-2012,260
Île-de-France,2013-2017,273
Île-de-France,2017-2021,277
Centre-Val de Loire,2006-2009,937
Centre-Val de Loire,2008-2012,957
Centre-Val de Loire,2013-2017,987
Centre-Val de Loire,2017-2021,1026
Bourgogne-Franche-Comté,2006-2009,1705
Bourgogne-Franche-Comté,2008-2012,1742
Bourgogne-Franche-Comté,2013-2017,1741
Bourgogne-Franche-Comté,2017-2021,1765
Normandie,2006-2009,390
Normandie,2008-2012,410
Normandie,2013-2017,427
Normandie,2017-2021,427
Hauts-de-France,2006-2009,425
Hauts-de-France,2008-2012,430
Hauts-de-France,2013-2017,446
Hauts-de-France,2017-2021,481
Grand Est,2006-2009,1914
Grand Est,2008-2012,1917
Grand Est,2013-2017,1941
Grand Est,2017-2021,1968
Pays de la Loire,2006-2009,325
Pays de la Loire,2008-2012,351
Pays de la Loire,2013-2017,390
Pays de la Loire,2017-2021,401
Bretagne,2006-2009,358
Bretagne,2008-2012,386
Bretagne,2013-2017,415
Bretagne,2017-2021,447
Nouvelle-Aquitaine,2006-2009,2779
Nouvelle-Aquitaine,2008-2012,2827
Nouvelle-Aquitaine,2013-2017,2902
Nouvelle-Aquitaine,2017-2021,2858
Occitanie,2006-2009,2587
Occitanie,2008-2012,2631
Occitanie,2013-2017,2573
Occitanie,2017-2021,2630
Auvergne-Rhône-Alpes,2006-2009,2424
Auvergne-Rhône-Alpes,2008-2012,2495
Auvergne-Rhône-Alpes,2013-2017,2584
Auvergne-Rhône-Alpes,2017-2021,2578
Provence-Alpes-Côte d'Azur,2006-2009,1492
Provence-Alpes-Côte d'Azur,2008-2012,1524
Provence-Alpes-Côte d'Azur,2013-2017,1617
Provence-Alpes-Côte d'Azur,2017-2021,1642
Corse,2006-2009,472
Corse,2008-2012,494
Corse,2013-2017,549
Corse,2017-2021,577
France,2006-2009,16073
France,2008-2012,16418
France,2013-2017,16845
France,2017-2021,17076
